Number of Files,MSE,Name
3,-3.3621349135940766,"Hossain et al, Yu et al, Lagator et al Pr"
3,-2.6000381113493596,"Hossain et al, Yu et al, Anderson et al"
3,-3.011739109664732,"Hossain et al, Yu et al, De Novo Designs"
3,-3.483978000566357,"Hossain et al, Lagator et al 36N, Lagator et al Pl"
3,-3.326616466439458,"Hossain et al, Lagator et al 36N, Lagator et al Pr"
3,-2.849518495268113,"Hossain et al, Lagator et al 36N, Anderson et al"
3,-3.4522697836750793,"Hossain et al, Lagator et al 36N, De Novo Designs"
3,-3.11135324889677,"Hossain et al, Lagator et al Pl, Lagator et al Pr"
3,-3.4282914165575376,"Hossain et al, Lagator et al Pl, Anderson et al"
3,-3.1815284627934868,"Hossain et al, Lagator et al Pl, De Novo Designs"
3,-3.0169447662518145,"Hossain et al, Lagator et al Pr, Anderson et al"
3,-2.987144521585632,"Hossain et al, Lagator et al Pr, De Novo Designs"
3,-2.8204664368216186,"Hossain et al, Anderson et al, De Novo Designs"
3,-3.8122997321727534,"Yu et al, Lagator et al 36N, Lagator et al Pl"
3,-3.9170598039406177,"Yu et al, Lagator et al 36N, Lagator et al Pr"
3,-3.667563623957625,"Yu et al, Lagator et al 36N, Anderson et al"
3,-3.9532007615475533,"Yu et al, Lagator et al 36N, De Novo Designs"
3,-3.7996808800436104,"Yu et al, Lagator et al Pl, Lagator et al Pr"
3,-2.90124952357274,"Yu et al, Lagator et al Pl, Anderson et al"
3,-3.2928167970331716,"Yu et al, Lagator et al Pl, De Novo Designs"
3,-3.5844929800472367,"Yu et al, Lagator et al Pr, Anderson et al"
3,-3.4948177491864825,"Yu et al, Lagator et al Pr, De Novo Designs"
3,-2.5982442567580315,"Yu et al, Anderson et al, De Novo Designs"
3,-3.6319093482478246,"Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
3,-3.353519138504821,"Lagator et al 36N, Lagator et al Pl, Anderson et al"
3,-4.065727905255133,"Lagator et al 36N, Lagator et al Pl, De Novo Designs"
3,-3.6371097713352802,"Lagator et al 36N, Lagator et al Pr, Anderson et al"
3,-3.915453845153875,"Lagator et al 36N, Lagator et al Pr, De Novo Designs"
3,-3.431210814744834,"Lagator et al 36N, Anderson et al, De Novo Designs"
3,-2.934737932875812,"Lagator et al Pl, Lagator et al Pr, Anderson et al"
3,-3.894814149315265,"Lagator et al Pl, Lagator et al Pr, De Novo Designs"
3,-3.3355655957780574,"Lagator et al Pl, Anderson et al, De Novo Designs"
3,-3.203794131932694,"Lagator et al Pr, Anderson et al, De Novo Designs"
4,-4.9002275466031975,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al"
4,-5.108643175576073,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N"
4,-4.896933457449617,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pl"
4,-5.966657428920838,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pr"
4,-4.21079998654174,"La Fleur et al, Urtecho et al, Hossain et al, Anderson et al"
4,-4.790251576990874,"La Fleur et al, Urtecho et al, Hossain et al, De Novo Designs"
4,-3.221156834291587,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N"
4,-4.217754746260172,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pl"
4,-4.764656020092085,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pr"
4,-3.3510003628972007,"La Fleur et al, Urtecho et al, Yu et al, Anderson et al"
4,-3.6318236292689288,"La Fleur et al, Urtecho et al, Yu et al, De Novo Designs"
4,-4.794004018875587,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pl"
4,-4.906780082013602,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pr"
4,-4.017356556142665,"La Fleur et al, Urtecho et al, Lagator et al 36N, Anderson et al"
4,-3.8122559851279374,"La Fleur et al, Urtecho et al, Lagator et al 36N, De Novo Designs"
4,-4.587957027350805,"La Fleur et al, Urtecho et al, Lagator et al Pl, Lagator et al Pr"
4,-3.8836790768999774,"La Fleur et al, Urtecho et al, Lagator et al Pl, Anderson et al"
4,-4.145937780392874,"La Fleur et al, Urtecho et al, Lagator et al Pl, De Novo Designs"
4,-4.763276017076394,"La Fleur et al, Urtecho et al, Lagator et al Pr, Anderson et al"
4,-4.753199514280508,"La Fleur et al, Urtecho et al, Lagator et al Pr, De Novo Designs"
4,-3.215914439713763,"La Fleur et al, Urtecho et al, Anderson et al, De Novo Designs"
4,-3.848725087408153,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N"
4,-4.5553097646641945,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pl"
4,-4.027273491226494,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pr"
4,-3.549624261454776,"La Fleur et al, Hossain et al, Yu et al, Anderson et al"
4,-3.8762212456539724,"La Fleur et al, Hossain et al, Yu et al, De Novo Designs"
4,-3.6884896263228657,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pl"
4,-4.168097547996299,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pr"
4,-3.656716485962961,"La Fleur et al, Hossain et al, Lagator et al 36N, Anderson et al"
4,-3.390971566877841,"La Fleur et al, Hossain et al, Lagator et al 36N, De Novo Designs"
4,-3.7299548694006877,"La Fleur et al, Hossain et al, Lagator et al Pl, Lagator et al Pr"
4,-4.1313806408612574,"La Fleur et al, Hossain et al, Lagator et al Pl, Anderson et al"
4,-3.6918414786589797,"La Fleur et al, Hossain et al, Lagator et al Pl, De Novo Designs"
4,-3.169668174037477,"La Fleur et al, Hossain et al, Lagator et al Pr, Anderson et al"
4,-4.045770271057674,"La Fleur et al, Hossain et al, Lagator et al Pr, De Novo Designs"
4,-3.3112501647679125,"La Fleur et al, Hossain et al, Anderson et al, De Novo Designs"
4,-3.9711011392464695,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl"
4,-4.158343330180255,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pr"
4,-3.939401471689535,"La Fleur et al, Yu et al, Lagator et al 36N, Anderson et al"
4,-3.9970404004647464,"La Fleur et al, Yu et al, Lagator et al 36N, De Novo Designs"
4,-4.038645866812187,"La Fleur et al, Yu et al, Lagator et al Pl, Lagator et al Pr"
4,-4.224316105905142,"La Fleur et al, Yu et al, Lagator et al Pl, Anderson et al"
4,-4.313078745837225,"La Fleur et al, Yu et al, Lagator et al Pl, De Novo Designs"
4,-4.040473256296939,"La Fleur et al, Yu et al, Lagator et al Pr, Anderson et al"
4,-4.299952798760757,"La Fleur et al, Yu et al, Lagator et al Pr, De Novo Designs"
4,-4.332421172990702,"La Fleur et al, Yu et al, Anderson et al, De Novo Designs"
4,-4.053171855873925,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
4,-4.259123668967004,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
4,-4.008414498708551,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
4,-3.9112265985334806,"La Fleur et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
4,-3.939394580067565,"La Fleur et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
4,-4.006841087450603,"La Fleur et al, Lagator et al 36N, Anderson et al, De Novo Designs"
4,-3.609570418571143,"La Fleur et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
4,-3.476146932266522,"La Fleur et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
