Number of Files,MSE,Name
5,-4.252589224385053,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-4.216746658345669,"La Fleur et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-3.98791240047783,"La Fleur et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-4.8610170624703715,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl"
5,-4.217619277081937,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr"
5,-4.232538712732246,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Anderson et al"
5,-3.8571260091387134,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, De Novo Designs"
5,-3.9570184071508434,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr"
5,-4.050321764555384,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Anderson et al"
5,-4.349707551292813,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, De Novo Designs"
5,-4.047528509756117,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr, Anderson et al"
5,-4.1789095881105505,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr, De Novo Designs"
5,-3.728680765812761,"Urtecho et al, Hossain et al, Yu et al, Anderson et al, De Novo Designs"
5,-4.457002645986116,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
5,-4.498417878077226,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
5,-4.148751957865841,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
5,-5.061583355631392,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
5,-4.319079401781395,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
5,-3.186474184851258,"Urtecho et al, Hossain et al, Lagator et al 36N, Anderson et al, De Novo Designs"
5,-4.269437595572217,"Urtecho et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-4.088986648219385,"Urtecho et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-3.9916975194939,"Urtecho et al, Hossain et al, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-4.076137247961592,"Urtecho et al, Hossain et al, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-4.703953792650857,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
5,-4.6531908141548195,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
5,-4.677933967963563,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
5,-4.871878731814572,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
5,-4.651828344218921,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
5,-3.963447411963789,"Urtecho et al, Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
5,-4.308855496567805,"Urtecho et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-4.084509097001437,"Urtecho et al, Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-3.9648843393749154,"Urtecho et al, Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-4.278976752826965,"Urtecho et al, Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-5.11860434239852,"Urtecho et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-4.60421289455379,"Urtecho et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-4.718835276883578,"Urtecho et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-4.621350540971035,"Urtecho et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-4.796214279097133,"Urtecho et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-3.6691733424979622,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
5,-3.4206656664085675,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
5,-3.7677723764105915,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
5,-3.5111995840210595,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
5,-3.7469829849451677,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
5,-3.663871213510422,"Hossain et al, Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
5,-3.741328111362731,"Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-3.1174225047845217,"Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-3.234098198505345,"Hossain et al, Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-3.5908077117671544,"Hossain et al, Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-3.1776359996844934,"Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-3.458550452537531,"Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-3.499958228234683,"Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-3.3728213156485536,"Hossain et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-3.1647010982830865,"Hossain et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-4.0589849783650545,"Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-3.8826630365600385,"Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-3.825557741175917,"Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-3.8309074820355575,"Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-3.779603204160375,"Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-3.8016442596774986,"Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-5.664737942023979,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl"
6,-6.73256708524848,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr"
6,-5.13715380457461,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Anderson et al"
6,-5.6755589803572875,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, De Novo Designs"
6,-6.480684422686865,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr"
6,-5.500467715184342,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Anderson et al"
6,-5.575666671034494,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, De Novo Designs"
6,-5.648221124700329,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr, Anderson et al"
6,-6.0190052673581,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr, De Novo Designs"
6,-5.381899511448993,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Anderson et al, De Novo Designs"
6,-6.1005941221221995,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
6,-5.742995111412729,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
6,-5.682266915195788,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
6,-6.280476523155377,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
6,-6.408999193737471,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
6,-4.814729208255753,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Anderson et al, De Novo Designs"
6,-5.469659174030003,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-5.416473127813358,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-4.996759561630006,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-5.5688187175808395,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-5.034977674554515,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
6,-4.797377620367097,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
6,-4.811096390587229,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
6,-5.07593233352229,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
6,-4.964220862275822,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
6,-4.350137792842593,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
6,-4.649530523446527,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-4.50749293803031,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-4.351070124771896,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-4.7322849036817685,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.91037020661376,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-5.159354816427134,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-4.807129836052092,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-5.052906351588247,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.41907318981387,"La Fleur et al, Urtecho et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.389114607093523,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
6,-4.062972789026752,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
6,-4.146562011197021,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
6,-4.386350585813851,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
6,-3.937593762428203,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
6,-3.8701148295283314,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
6,-3.88316373426809,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-3.8617148872507845,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-4.613829497190142,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-4.0836344522666215,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.022749729947542,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-4.023898021962207,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-4.21312646180413,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-3.865644871104355,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.080020657034263,"La Fleur et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.204336222917591,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-3.958812027813924,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-4.07544534272577,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-4.120687673723097,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.035809835002752,"La Fleur et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.1528439739152265,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.363547452545407,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
6,-4.44954409865192,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
6,-4.501597510735413,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
6,-4.960028409492598,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
6,-4.711417135669611,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
6,-4.077445792925941,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
6,-4.071275321221681,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-4.323391742850382,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-4.215522699736263,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-4.548634453290341,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.562011738816152,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-4.406054794316382,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-3.8640041097888447,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-4.10240509591797,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.4730847610312505,"Urtecho et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-5.055769380652922,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-4.881863788919218,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-4.836730331264892,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-5.018154866947148,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.5666725810905495,"Urtecho et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.9797236474642075,"Urtecho et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-3.6324633206732644,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-3.4032084366351225,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-3.68328564614415,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-3.7373716618046737,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-3.0083104250081,"Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-3.263349102407273,"Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-3.8134588406502297,"Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-7.204393814710521,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
7,-6.305879904136501,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
7,-6.295145670394375,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
7,-6.79181323857042,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
7,-6.71427287911602,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
7,-4.869792324604331,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
7,-4.985433599906966,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
7,-6.0439973986424915,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
7,-4.699929392571352,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
7,-6.269792244282985,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-6.900800143239278,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
7,-6.863170921145717,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
7,-6.009138954600239,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
7,-6.21074204673928,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-5.9756936791042286,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-5.28198697921589,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
7,-5.042721793410598,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
7,-4.993126129613575,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
7,-5.036127898807462,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-4.578353026906595,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-5.006670606493761,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-4.657927642641146,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
7,-4.196627845020925,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
7,-4.641892832201634,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
7,-4.2016612374672855,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-3.9175301736538857,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-4.072916127600233,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-4.095740679909534,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-4.408928925032104,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
7,-4.260524926912782,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
7,-4.935870138018447,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
7,-4.8274710815935675,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-3.9582466340616396,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-4.598103586793227,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-4.818447198783281,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-3.6703875454206076,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
8,-7.266315051581836,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
8,-7.138214091981569,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
8,-6.202234764319113,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
8,-6.902921378688376,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
8,-5.886331434122841,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
8,-5.622879645941721,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
8,-5.141791201010741,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
8,-4.006957619844026,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
8,-4.176730332290134,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
9,-7.268492412228805,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
